"Song","Album","Year"
"Feel So Good","Unreleased single","1970"
"Keep in Line","Unreleased single","1970"
"Love Light","Unreleased single","1970"
"Marguerite","Unreleased single","1970"
"Mike's Idea","Unreleased single","1970"
"Morning Star","Unreleased single","1970"
"Number One","Unreleased single","1970"
"Run Willie Run","Unreleased single","1970"
"Sing Guitar","Unreleased single","1970"
"Slaughterhouse","Unreleased single","1970"
"Tale","Unreleased single","1970"
"Not Fade Away","Non-album single","1973"
"You Can't Fight It","Non-album single","1973"
"I've Been Runnin'","R40","1974"
"The Loser","R40","1974"
"Before and After","Rush","1974"
"Finding My Way","Rush","1974"
"Here Again","Rush","1974"
"In the Mood","Rush","1974"
"Need Some Love","Rush","1974"
"Take a Friend","Rush","1974"
"What You're Doing","Rush","1974"
"Working Man","Rush","1974"
"Bad Boy","Rush ABC: Live from Cleveland's Agora Ballroom","1974"
"Fancy Dancer","Rush ABC: Live from Cleveland's Agora Ballroom","1974"
"Garden Road","Rush ABC: Live from Cleveland's Agora Ballroom","1974"
"Bastille Day","Caress of Steel","1975"
"I Think I'm Going Bald","Caress of Steel","1975"
"Lakeside Park","Caress of Steel","1975"
"The Fountain of Lamneth","Caress of Steel","1975"
"The Necromancer","Caress of Steel","1975"
"Anthem","Fly by Night","1975"
"Beneath, Between, and Behind","Fly by Night","1975"
"Best I Can","Fly by Night","1975"
"By-Tor and the Snow Dog","Fly by Night","1975"
"In the End","Fly by Night","1975"
"Making Memories","Fly by Night","1975"
"Rivendell","Fly by Night","1975"
"Fly by Night","Fly By Night","1975"
"2112","2112","1976"
"A Passage to Bangkok","2112","1976"
"Lessons","2112","1976"
"Something for Nothing","2112","1976"
"Tears","2112","1976"
"The Twilight Zone","2112","1976"
"A Farewell to Kings","A Farewell to Kings","1977"
"Cinderella Man","A Farewell to Kings","1977"
"Closer to the Heart","A Farewell to Kings","1977"
"Cygnus X-1 Book I: The Voyage","A Farewell to Kings","1977"
"Madrigal","A Farewell to Kings","1977"
"Xanadu","A Farewell to Kings","1977"
"Circumstances","Hemispheres","1978"
"Cygnus X-1 Book II: Hemispheres","Hemispheres","1978"
"La Villa Strangiato","Hemispheres","1978"
"The Trees","Hemispheres","1978"
"Different Strings","Permanent Waves","1980"
"Entre Nous","Permanent Waves","1980"
"Freewill","Permanent Waves","1980"
"Jacob's Ladder","Permanent Waves","1980"
"Natural Science","Permanent Waves","1980"
"The Spirit of Radio","Permanent Waves","1980"
"Broon's Bane","Exit...Stage Left","1981"
"Limelight","Moving Pictures","1981"
"Red Barchetta","Moving Pictures","1981"
"The Camera Eye","Moving Pictures","1981"
"Tom Sawyer","Moving Pictures","1981"
"Vital Signs","Moving Pictures","1981"
"Witch Hunt","Moving Pictures","1981"
"YYZ","Moving Pictures","1981"
"Chemistry","Signals","1982"
"Countdown","Signals","1982"
"Digital Man","Signals","1982"
"Losing It","Signals","1982"
"New World Man","Signals","1982"
"Subdivisions","Signals","1982"
"The Analog Kid","Signals","1982"
"The Weapon","Signals","1982"
"Afterimage","Grace Under Pressure","1984"
"Between the Wheels","Grace Under Pressure","1984"
"Distant Early Warning","Grace Under Pressure","1984"
"Kid Gloves","Grace Under Pressure","1984"
"Red Lenses","Grace Under Pressure","1984"
"Red Sector A","Grace Under Pressure","1984"
"The Body Electric","Grace Under Pressure","1984"
"The Enemy Within","Grace Under Pressure","1984"
"Emotion Detector","Power Windows","1985"
"Grand Designs","Power Windows","1985"
"Manhattan Project","Power Windows","1985"
"Marathon","Power Windows","1985"
"Middletown Dreams","Power Windows","1985"
"Mystic Rhythms","Power Windows","1985"
"Territories","Power Windows","1985"
"The Big Money","Power Windows","1985"
"Force Ten","Hold Your Fire","1987"
"High Water","Hold Your Fire","1987"
"Lock and Key","Hold Your Fire","1987"
"Mission","Hold Your Fire","1987"
"Open Secrets","Hold Your Fire","1987"
"Prime Mover","Hold Your Fire","1987"
"Second Nature","Hold Your Fire","1987"
"Tai Shan","Hold Your Fire","1987"
"Time Stand Still","Hold Your Fire","1987"
"Turn the Page","Hold Your Fire","1987"
"The Rhythm Method","A Show of Hands","1989"
"Anagram","Presto","1989"
"Available Light","Presto","1989"
"Chain Lightning","Presto","1989"
"Hand Over Fist","Presto","1989"
"Presto","Presto","1989"
"Red Tide","Presto","1989"
"Scars","Presto","1989"
"Show Don't Tell","Presto","1989"
"Superconductor","Presto","1989"
"The Pass","Presto","1989"
"War Paint","Presto","1989"
"Bravado","Roll the Bones","1991"
"Dreamline","Roll the Bones","1991"
"Face Up","Roll the Bones","1991"
"Ghost of a Chance","Roll the Bones","1991"
"Heresy","Roll the Bones","1991"
"Neurotica","Roll the Bones","1991"
"Roll the Bones","Roll the Bones","1991"
"The Big Wheel","Roll the Bones","1991"
"Where's My Thing?","Roll the Bones","1991"
"You Bet Your Life","Roll the Bones","1991"
"Alien Shore","Counterparts","1993"
"Animate","Counterparts","1993"
"Between Sun and Moon","Counterparts","1993"
"Cold Fire","Counterparts","1993"
"Cut to the Chase","Counterparts","1993"
"Double Agent","Counterparts","1993"
"Everyday Glory","Counterparts","1993"
"Leave That Thing Alone","Counterparts","1993"
"Nobody's Hero","Counterparts","1993"
"Stick It Out","Counterparts","1993"
"The Speed of Love","Counterparts","1993"
